tokens_stemmed,clean_text_final
"['mudah', 'beli', 'tiket', 'pembayarab', 'antri']",mudah beli tiket pembayarab antri
['layan'],layan
['maksimal'],maksimal
"['terimakasih', 'jakarta', 'sehat']",terimakasih jakarta sehat
['coba'],coba
['top'],top
"['sangatt', 'bantu']",sangatt bantu
"['bantu', 'susah', 'login', 'kali', 'kali', 'gabisa', 'reset', 'pin', 'coba', 'login', 'gabisa', 'mass', 'rapid', 'transit', 'gmn', 'parah']",bantu susah login kali kali gabisa reset pin coba login gabisa mass rapid transit gmn parah
['mantap'],mantap
[],
['ajib'],ajib
['good'],good
['keren'],keren
"['bantu', 'mudah', 'bayar', 'transaksi']",bantu mudah bayar transaksi
"['kerenga', 'nyangka', 'kalo', 'indonesia', 'keren']",kerenga nyangka kalo indonesia keren
[],
['bersih'],bersih
"['bagus', 'rute', 'mass', 'rapid', 'transit']",bagus rute mass rapid transit
[],
"['bersih', 'beut']",bersih beut
[],
"['moga', 'kembang', 'banyak', 'promodiskon', 'spt', '10x', 'jalan', 'gratis', '1x', 'jalan', 'tks']",moga kembang banyak promodiskon spt 10x jalan gratis 1x jalan tks
"['ganggu', 'pagi', 'pagi', 'orang', 'buru', 'buru', 'sibukga', 'malam', 'ganggu', 'notifikasiseperti', 'sms', 'blast', 'wa', 'blast', 'biar', 'guna', 'mass', 'rapid', 'transit', 'tau', 'klo', 'gangguannyusahin', 'lama2', 'kagak', 'laku', 'ni', 'mass', 'rapid', 'transit']",ganggu pagi pagi orang buru buru sibukga malam ganggu notifikasiseperti sms blast wa blast biar guna mass rapid transit tau klo gangguannyusahin lama2 kagak laku ni mass rapid transit
['moga'],moga
['keren'],keren
"['mantap', 'keren', 'aplikasi']",mantap keren aplikasi
['oke'],oke
"['tempat', 'bersih', 'nyaman', 'mantul', 'pokok']",tempat bersih nyaman mantul pokok
"['top', 'pake', 'ovo']",top pake ovo
"['moga', 'bantu', 'yah']",moga bantu yah
"['bersih', 'nyaman', 'kereta']",bersih nyaman kereta
['mantab'],mantab
['bantu'],bantu
"['coba', 'nnti', 'bagus']",coba nnti bagus
"['nyaa', 'serba', 'instan', 'sukaaa', 'bangett', '']",nyaa serba instan sukaaa bangett 
"['10', 'daftar', 'apk', 'gabisa2', 'failed', 'daftar', 'gilir', 'pakai', 'data', 'lgsg', 'tingkat', 'lg']",10 daftar apk gabisa2 failed daftar gilir pakai data lgsg tingkat lg
['waw'],waw
[],
"['tahan', 'bersih', 'tingkat', 'fasilitas', 'station', 'henti', 'aamiin']",tahan bersih tingkat fasilitas station henti aamiin
"['anies', 'baswedan']",anies baswedan
['heeem'],heeem
[],
['coba'],coba
"['manfaat', 'kali', 'berharihari']",manfaat kali berharihari
['good'],good
['oce'],oce
['mantap'],mantap
['kerenn'],kerenn
['mantap'],mantap
['oke'],oke
"['ganggu', 'bayar', 'ovo']",ganggu bayar ovo
['good'],good
['bantu'],bantu
"['bagus', 'tingkat']",bagus tingkat
"['bantu', 'proses', 'transaksi', 'jalan']",bantu proses transaksi jalan
[],
"['support', 'manfaat']",support manfaat
"['moda', 'transportasi', 'amanaply', 'ribet']",moda transportasi amanaply ribet
"['riwayat', 'tiket', 'date', 'baru', 'mohon', 'tanggal', 'jam', 'berangkat', 'datang', 'hilang']",riwayat tiket date baru mohon tanggal jam berangkat datang hilang
"['sulit', 'layan', 'beli', 'tiket']",sulit layan beli tiket
"['manfaat', 'update']",manfaat update
['good'],good
[],
"['ngebantu', 'beli', 'tiket', 'bawa', 'kartu']",ngebantu beli tiket bawa kartu
"['moga', 'manfaat', 'upgradenya', 'moga', 'kembang', 'bug']",moga manfaat upgradenya moga kembang bug
"['setia', 'pakai', 'mass', 'rapid', 'transit', 'rumah', 'stasiun', 'fatmawati', 'tinggal', 'jalan', 'kaki']",setia pakai mass rapid transit rumah stasiun fatmawati tinggal jalan kaki
"['hmmm', 'download', 'keburu', 'beli', 'tiket', 'multitrip', 'nya']",hmmm download keburu beli tiket multitrip nya
['good'],good
"['msh', 'ajar']",msh ajar
"['install', 'tau', 'bagus', 'fitur', 'aplikasi']",install tau bagus fitur aplikasi
['bagus'],bagus
"['mantap', 'jon']",mantap jon
['okey'],okey
['nice'],nice
['batu'],batu
['ibib'],ibib
"['bagus', 'bantu']",bagus bantu
['thank'],thank
['mantap'],mantap
"['bagus', 'aplikasi', 'mudah', 'mesan', 'mass', 'rapid', 'transit', 'krl', 'jakarta']",bagus aplikasi mudah mesan mass rapid transit krl jakarta
"['bagus', 'sukses', 'buat', 'operasi', 'lancar', '']",bagus sukses buat operasi lancar 
['bantu'],bantu
"['sukses', 'depan']",sukses depan
['mantap'],mantap
['nice'],nice
['bagus'],bagus
['kumon'],kumon
"['mantap', 'bantu', 'pakai', 'mahal', 'belu', 'kartu']",mantap bantu pakai mahal belu kartu
['love'],love
['good'],good
['bantu'],bantu
[],
[],
"['coba', 'kalo', 'bagus', 'nilai']",coba kalo bagus nilai
"['buruksysaj', 'masuk']",buruksysaj masuk
['bagus'],bagus
"['mantap', 'bantu', 'otw', 'tuju']",mantap bantu otw tuju
['bagus'],bagus
['mantul'],mantul
['bagus'],bagus
"['mrtlux', 'rapi', 'bersihmantul', 'bangetseperti', 'mass', 'rapid', 'transit', 'singapore', 'usul', 'depan', 'banyak', 'bayar', 'tiket', 'pakai', 'fasilitas', 'link', 'ovo', 'dana', 'gopayitu', 'ajadari', 'sayasukses', 'slalu', 'mass', 'rapid', 'transit']",mrtlux rapi bersihmantul bangetseperti mass rapid transit singapore usul depan banyak bayar tiket pakai fasilitas link ovo dana gopayitu ajadari sayasukses slalu mass rapid transit
"['bagus', 'manfaat']",bagus manfaat
"['bagus', 'guna']",bagus guna
"['lumayan', 'bagus']",lumayan bagus
['keren'],keren
['praktisbaguscepat'],praktisbaguscepat
"['aplikasi', 'bantu']",aplikasi bantu
"['bantu', 'guna', 'bayar', 'mass', 'rapid', 'transit']",bantu guna bayar mass rapid transit
"['bantu', 'etiket', 'mass', 'rapid', 'transit']",bantu etiket mass rapid transit
[],
[''],
"['daftar', 'ngga', 'masukmasuk', 'sandi', 'smsnyatingkatin', 'mudah', 'daftar']",daftar ngga masukmasuk sandi smsnyatingkatin mudah daftar
"['saldo', 'potong', 'eror', 'niat', 'hadehhh']",saldo potong eror niat hadehhh
"['jeda', 'kereta', 'menit', 'menit', 'numpuk', 'tumpang', 'nunggu', 'stasiun', 'mass', 'rapid', 'transit', 'kereta', 'psbb', 'masyarakat', 'suruh', 'taat', 'atur', 'psbb', 'manajemen', 'mass', 'rapid', 'transit', 'bikin', 'tumpang', 'numpuk', 'logika', 'manajemen']",jeda kereta menit menit numpuk tumpang nunggu stasiun mass rapid transit kereta psbb masyarakat suruh taat atur psbb manajemen mass rapid transit bikin tumpang numpuk logika manajemen
"['otp', 'masuk']",otp masuk
"['nyaman', 'cepat']",nyaman cepat
"['nungguin', 'notif', 'vertivikasi', 'sms', 'muncul', 'katro', 'dah']",nungguin notif vertivikasi sms muncul katro dah
"['bug', 'gimana', 'keyboard', 'gabisa', 'muncul', 'ngeklik', 'jalan', 'sinyal', 'bagus', 'gajelas']",bug gimana keyboard gabisa muncul ngeklik jalan sinyal bagus gajelas
"['ribet', 'code', 'angka', 'verifikasi', 'bt', 'scan', 'link', 'krl', 'simpel', 'goyang', 'hp', 'tinggal', 'scan', 'mudah', 'sistem']",ribet code angka verifikasi bt scan link krl simpel goyang hp tinggal scan mudah sistem
"['coba2', 'pake', 'beli', 'tiket', 'bawa', 'flash', 'eh', 'ngebantu', 'lancar', 'keren']",coba2 pake beli tiket bawa flash eh ngebantu lancar keren
"['finallyi', 'love']",finallyi love
"['gajelas', 'dah', 'unduh', 'gabisa', 'buka', 'mo', 'buka', 'back', 'mulu', 'knp', 'hrs', 'beli', 'tiket', 'kaya', 'gin', 'si', 'bagus', 'bagus', 'loket', 'sulit', 'ajee', 'mohon', 'baik']",gajelas dah unduh gabisa buka mo buka back mulu knp hrs beli tiket kaya gin si bagus bagus loket sulit ajee mohon baik
['good'],good
"['coba', 'kali', 'akun', 'nomor', 'verifikasi', 'sinyal', 'bagus', 'alamat', 'email', 'hp', 'pass', 'mohon', 'tingkat', 'bangun', 'sistem', 'mudah', 'akses', 'masyarakat']",coba kali akun nomor verifikasi sinyal bagus alamat email hp pass mohon tingkat bangun sistem mudah akses masyarakat
['simple'],simple
"['mudah', 'bayar', 'gopay', 'lancar']",mudah bayar gopay lancar
"['pas', 'bayar', 'pake', 'link', 'suruh', 'masukin', 'kode', 'verifikasi', 'kirim', 'via', 'sms', 'masuk', 'sms', 'tutup', 'bentar', 'mass', 'rapid', 'transit', 'liat', 'kode', 'sms', 'mass', 'rapid', 'transit', 'beranda', 'gitu', 'kebayarbayarb', 'tu', 'tiket']",pas bayar pake link suruh masukin kode verifikasi kirim via sms masuk sms tutup bentar mass rapid transit liat kode sms mass rapid transit beranda gitu kebayarbayarb tu tiket
"['beli', 'tiket', 'keluar', 'tiket', 'tuju', 'saldo', 'gopay', 'potong', '2x', 'habis', 'update', 'nge', 'blank', 'buka']",beli tiket keluar tiket tuju saldo gopay potong 2x habis update nge blank buka
"['mantap', 'mrtnya']",mantap mrtnya
"['mohon', 'baik', 'sistem', 'tiket', 'jam', 'tutup', 'transaksi', 'beli', 'beli', 'tiket', 'mass', 'rapid', 'transit', 'tutup', 'jam', 'weekend', 'pandemi', 'jam', 'beli', 'tiket', 'alami', 'tiket', 'direfund', 'moga', 'jadi', 'masuk']",mohon baik sistem tiket jam tutup transaksi beli beli tiket mass rapid transit tutup jam weekend pandemi jam beli tiket alami tiket direfund moga jadi masuk
"['bagus', 'tambah', 'gamenya', 'ganti', 'gamenya', 'jgn', 'bosennn']",bagus tambah gamenya ganti gamenya jgn bosennn
"['update', 'gabisa', 'payment', 'lambat', 'benah', 'aplikasi']",update gabisa payment lambat benah aplikasi
"['kereta', 'oke', 'interfacenya', 'tahan']",kereta oke interfacenya tahan
['aneh'],aneh
"['ribet', 'instal', 'linknya', 'hubung']",ribet instal linknya hubung
"['akun', 'isi', 'email', 'nomor', 'telepon', 'gagal', 'akun']",akun isi email nomor telepon gagal akun
"['terkadang', 'error', 'bayar', 'tiket', 'muncul', 'barcode', 'saldo', 'potong', 'hmm', 'kecewa']",terkadang error bayar tiket muncul barcode saldo potong hmm kecewa
['guna'],guna
"['eror', 'mulu', 'stasiun', 'blok', 'ngak', 'dipake', 'sekali', 'lemotselalu', 'bilang', 'ngk', 'internet', 'pdhl', 'wa', 'youtube', 'bagus', 'ngak', 'hambat', 'skrg', 'ubah']",eror mulu stasiun blok ngak dipake sekali lemotselalu bilang ngk internet pdhl wa youtube bagus ngak hambat skrg ubah
"['layan', 'buruktidak', 'pemberitahuan', 'jam', 'berangkat', 'jam', 'malam', 'jam', 'hbsudh', 'beli', 'tiket', 'hanguskecewa', 'intinyamrt', 'baik', 'lg', 'layananya']",layan buruktidak pemberitahuan jam berangkat jam malam jam hbsudh beli tiket hanguskecewa intinyamrt baik lg layananya
"['update', 'lgi', 'tiket']",update lgi tiket
"['masuk2', 'aplikasi', 'yaaa']",masuk2 aplikasi yaaa
"['mohon', 'maaf', 'info', 'mass', 'rapid', 'transit', 'tutup', 'jam', 'berapa', 'mass', 'rapid', 'transit', 'tutup', 'minim', 'info', 'kaya', 'hr', 'oktober', 'tutup', 'jam', 'jam', 'tutup', 'sen', 'tiket', 'jam', 'set7', 'pas', 'dateng', 'stasiun', 'tutup', 'klo', 'mass', 'rapid', 'transit', 'tutup', 'kasih', 'notif', 'beli', 'tiketudah', 'gitu', 'gaada', 'notifbeli', 'tiket', 'pas', 'mass', 'rapid', 'transit', 'tutup', 'dibeligabisa', 'refund']",mohon maaf info mass rapid transit tutup jam berapa mass rapid transit tutup minim info kaya hr oktober tutup jam jam tutup sen tiket jam set7 pas dateng stasiun tutup klo mass rapid transit tutup kasih notif beli tiketudah gitu gaada notifbeli tiket pas mass rapid transit tutup dibeligabisa refund
"['almar', 'rajendra', 'khansa', 'xl', 'tbg1']",almar rajendra khansa xl tbg1
"['gagal', 'beli', 'tiket', 'kali', 'sama', 'wow']",gagal beli tiket kali sama wow
['good'],good
"['appk', 'fungsi', 'kluar', 'masuk', 'gagal', 'registrasi', 'gagal', 'trs', 'skrg', 'masuk', 'gagal']",appk fungsi kluar masuk gagal registrasi gagal trs skrg masuk gagal
"['design', 'ui', 'uxnya', 'buruk']",design ui uxnya buruk
"['mendaftartdk', 'kode', 'verifikasi']",mendaftartdk kode verifikasi
"['aplikasi', 'payah', 'bantu', 'masukin', 'data', 'bener', 'tetep', 'proses', 'verifikasi', 'detil', 'mesti', 'sms', 'email']",aplikasi payah bantu masukin data bener tetep proses verifikasi detil mesti sms email
"['mass', 'rapid', 'transit', 'bagus', 'nyaman', 'tap', 'maaf', 'apk', 'ngehe', 'beli', 'tiket', 'gagal', 'eh', 'tau', 'beli', 'tiket', 'kali', 'ilang', 'dah', 'gopay', 'ku', 'otomatis', 'uninstall']",mass rapid transit bagus nyaman tap maaf apk ngehe beli tiket gagal eh tau beli tiket kali ilang dah gopay ku otomatis uninstall
"['masukin', 'hp', 'ko', 'dpt', 'kode', 'verifikasi', 'yudh', 'ulang', 'berkali2']",masukin hp ko dpt kode verifikasi yudh ulang berkali2
"['mudah', 'mass', 'rapid', 'transit', '']",mudah mass rapid transit 
"['ribetttttt', 'sulit', 'donk', 'bengkrak', 'lho', 'sulit', 'gin']",ribetttttt sulit donk bengkrak lho sulit gin
"['masukin', 'email', 'sma', 'nohp', 'bnermlah', 'slah', 'mulu', 'pdhal', 'sring', 'bget', 'mrtberharap', 'jdi', 'lbih', 'gampangmlah']",masukin email sma nohp bnermlah slah mulu pdhal sring bget mrtberharap jdi lbih gampangmlah
['mudah'],mudah
['mantap'],mantap
"['lokasi', 'stasiun', 'liat', 'konektivitas', 'ngak', 'buka']",lokasi stasiun liat konektivitas ngak buka
['bagus'],bagus
"['mudah', 'lupa', 'bawa', 'kartu', 'emoney', 'tinggal', 'tap', 'doang', 'beres', 'bantu', 'sekaliii']",mudah lupa bawa kartu emoney tinggal tap doang beres bantu sekaliii
"['ribet', 'sistem', 'beli', 'tiket', 'kudu', 'nentuin', 'tuju', 'app', 'langsung', 'potong', 'kayak', 'pake', 'emoney', 'rikues', 'update', 'pake', 'sistem', 'kayak', 'commuterline', 'scan', 'masuk', 'gerbang', 'saldo', 'otomatis', 'potong', 'sisa', 'refund', 'pas', 'gate', 'plus', 'tambahin', 'support', 'nfc', 'tinggal', 'tap', 'hp', 'kayak', 'pake', 'emoney']",ribet sistem beli tiket kudu nentuin tuju app langsung potong kayak pake emoney rikues update pake sistem kayak commuterline scan masuk gerbang saldo otomatis potong sisa refund pas gate plus tambahin support nfc tinggal tap hp kayak pake emoney
[],
"['ni', 'gimna', 'gabsa', 'akses', 'ganggu']",ni gimna gabsa akses ganggu
"['bagus', 'kendala']",bagus kendala
"['mesti', 'model', 'jgn', 'model', 'beli', 'tiket', 'jalan', 'lgsg', 'potong', 'ewallet', 'model', 'saldo', 'tinggal', 'potong', 'stasiun', 'lwt', 'nfcqr', 'code', 'enak', 'langsung', 'potong', 'saldo', 'ewallet', 'tinggal', 'tap', 'intap', 'gt']",mesti model jgn model beli tiket jalan lgsg potong ewallet model saldo tinggal potong stasiun lwt nfcqr code enak langsung potong saldo ewallet tinggal tap intap gt
"['payah', 'niat', 'gaya', 'log', 'susah']",payah niat gaya log susah
"['susahx', 'regist']",susahx regist
"['sistem', 'auto', 'potong', 'saldo', 'ovo', 'ato', 'dana', 'mesti', 'beli', 'tiket', 'jalan', 'bayar', 'pake', 'dana', 'ovo', 'repotttt', 'pulang', 'pergi', 'pake', 'mass', 'rapid', 'transit', 'mudah']",sistem auto potong saldo ovo ato dana mesti beli tiket jalan bayar pake dana ovo repotttt pulang pergi pake mass rapid transit mudah
"['coba', 'pdhl', 'bln', 'kali', 'download', 'tetep']",coba pdhl bln kali download tetep
[],
"['register', 'susah', 'email', 'nope', 'bener', 'bilang', 'salah', 'via', 'fb', 'twtr', 'filed', 'trs', 'guna']",register susah email nope bener bilang salah via fb twtr filed trs guna
"['bagus', 'mes', 'tiket', 'faham']",bagus mes tiket faham
"['resmi', 'presiden', 'republik', 'indonesia', 'insinyur', 'haji', 'joko', 'widodo']",resmi presiden republik indonesia insinyur haji joko widodo
['nyoba'],nyoba
['excellent'],excellent
"['bayar', 'pake', 'kartu', 'kredit', 'debit']",bayar pake kartu kredit debit
"['tap', 'lupa', 'password', 'masuk', 'nomor', 'handphone', 'sudsh', 'anggap', 'format', 'handphone', 'masuk', 'salah']",tap lupa password masuk nomor handphone sudsh anggap format handphone masuk salah
['semangat'],semangat
['good'],good
['good'],good
"['mass', 'rapid', 'transit', 'ny', 'tlg', 'bsa', 'instal', 'lg', 'yaa', 'tlg', 'instal', 'lg', 'biar', 'nyebelin']",mass rapid transit ny tlg bsa instal lg yaa tlg instal lg biar nyebelin
"['informatif', 'sayang', 'seakanakan', 'yah']",informatif sayang seakanakan yah
"['saldo', 'isi', 'pakai', 'wallet', 'mass', 'rapid', 'transit']",saldo isi pakai wallet mass rapid transit
"['cek', 'jadwal', 'mass', 'rapid', 'transit']",cek jadwal mass rapid transit
"['maaf', 'bintang', 'dlu', 'karna', 'install', 'error', 'halaman']",maaf bintang dlu karna install error halaman
[],
"['force', 'close']",force close
['bagus'],bagus
"['bagus', 'tau', 'mass', 'rapid', 'transit']",bagus tau mass rapid transit
"['informasi', 'jadwal', 'berangkat']",informasi jadwal berangkat
"['update', 'alarm', 'datang', 'alarm', 'berangkat', 'alarm', 'stasiun', 'tuju']",update alarm datang alarm berangkat alarm stasiun tuju
['bantu'],bantu
['bagus'],bagus
"['bantu', 'informasi', 'jadwal', 'mass', 'rapid', 'transit']",bantu informasi jadwal mass rapid transit
['bagoouuussss'],bagoouuussss
"['sae', 'pis', 'jkt', 'aya', 'mass', 'rapid', 'transit']",sae pis jkt aya mass rapid transit
"['senang', 'mass', 'rapid', 'transit', 'gampang']",senang mass rapid transit gampang
['bantu'],bantu
"['bagus', 'oke', 'mantap']",bagus oke mantap
"['mudah2an', 'daerah', 'bekas', 'cepat', 'rampung', 'macet', 'tol', '']",mudah2an daerah bekas cepat rampung macet tol 
['bagus'],bagus
"['bagus', 'infomasi', 'lengkap', 'posisi', 'kereta', 'livestreaming', 'layar', 'occ']",bagus infomasi lengkap posisi kereta livestreaming layar occ
[],
"['bagus', 'suka', 'mass', 'rapid', 'transit', 'jakarta']",bagus suka mass rapid transit jakarta
['anjayyy'],anjayyy
['athir'],athir
[],
"['estimasi', 'berangkat', 'setasiun', 'pilih']",estimasi berangkat setasiun pilih
"['hati', 'senang', 'mass', 'rapid', 'transit', 'lari', 'suooos', 'banter', 'kencang', 'onta', 'nyengir', 'ngiiiie']",hati senang mass rapid transit lari suooos banter kencang onta nyengir ngiiiie
"['uninstal', 'point', 'point', 'ig', 'mass', 'rapid', 'transit', 'jakarta', 'pas', 'instal', 'point', 'nol', 'anggap', 'guna', 'tamu', 'mulu', 'tulis', 'kolom', 'berita', 'bayang', 'baca']",uninstal point point ig mass rapid transit jakarta pas instal point nol anggap guna tamu mulu tulis kolom berita bayang baca
"['mantul', 'mantap']",mantul mantap
['good'],good
"['mass', 'rapid', 'transit', 'bagus', 'trsnsportasi', 'masal']",mass rapid transit bagus trsnsportasi masal
['coba'],coba
"['ni', 'aman', 'aplikasi', 'mantap', 'jiwa']",ni aman aplikasi mantap jiwa
"['kacau', 'brangkat', 'kantor', 'hr', 'rabu', 'april', 'bunderan', 'pintu', 'pertamina', 'tutup', 'buka', 'arah', 'pullman', 'tugas', 'manajemen', 'antri', 'kacau', 'gratis', 'kemarin', 'edukasi', 'laku', 'duduk', 'disabilitas', 'eskalator', 'antri', 'masuk', 'loading', 'gate', 'detik', 'responnya', 'tau', 'tarif', 'normal', 'peak', 'kaya']",kacau brangkat kantor hr rabu april bunderan pintu pertamina tutup buka arah pullman tugas manajemen antri kacau gratis kemarin edukasi laku duduk disabilitas eskalator antri masuk loading gate detik responnya tau tarif normal peak kaya
['good'],good
['kagum'],kagum
"['', 'bagus']", bagus
['download'],download
['baik'],baik
['bagus'],bagus
['kereen'],kereen
[''],
"['mass', 'rapid', 'transit', 'nyaman']",mass rapid transit nyaman
"['kereta', 'nyamankecepatan', 'budaya', 'kereta', 'mesti', 'diedukasitermasuk', 'jaga', 'bersih']",kereta nyamankecepatan budaya kereta mesti diedukasitermasuk jaga bersih
"['antri', 'kasihan', 'lansian', 'hamil', 'anak']",antri kasihan lansian hamil anak
"['gabisa', 'bikin', 'akun', 'klik', 'gabisa', 'akun']",gabisa bikin akun klik gabisa akun
"['susah', 'bener']",susah bener
['good'],good
"['mass', 'rapid', 'transit', 'oke', 'bnget']",mass rapid transit oke bnget
[],
"['bagus', 'aplikasi', 'tingkat', 'layan', 'kereta', 'mrtnya']",bagus aplikasi tingkat layan kereta mrtnya
"['good', 'flash', 'service']",good flash service
['login'],login
"['indonesia', 'milik', 'transportasi', 'massal', 'kelas']",indonesia milik transportasi massal kelas
"['alhamdulillah', 'rasa', 'mrtjakarta', 'serba', 'tertib', 'atur', 'cepat', 'bebas', 'macet']",alhamdulillah rasa mrtjakarta serba tertib atur cepat bebas macet
"['nyaman', 'cepat']",nyaman cepat
['bangga'],bangga
"['coba', 'ahh']",coba ahh
"['ribet', 'beli', 'tiket']",ribet beli tiket
"['bagus', 'lancar']",bagus lancar
['lengkap'],lengkap
['mantulbersihnyamanaman'],mantulbersihnyamanaman
"['sesuai', 'wakru', 'singkat']",sesuai wakru singkat
"['keren', 'canggih', 'lucu', 'aman', 'tertib', 'bersih', 'nyaman', 'ramah', 'disabilitas', 'cepat', 'indonesia', 'maju', 'wifi', '5g', '4g', 'fasilitas', 'hrs', 'lengkap', 'kereeeeeeeeeeen', 'sekaliiiiiiiiiiiiiiii']",keren canggih lucu aman tertib bersih nyaman ramah disabilitas cepat indonesia maju wifi 5g 4g fasilitas hrs lengkap kereeeeeeeeeeen sekaliiiiiiiiiiiiiiii
"['moga', 'lancar', 'mudah']",moga lancar mudah
"['guna', 'tamu']",guna tamu
"['ntuk', 'prtama', 'kalix', 'bgitu', 'takjub', '']",ntuk prtama kalix bgitu takjub 
"['nyaman', 'okk', 'bngt', 'mass', 'rapid', 'transit']",nyaman okk bngt mass rapid transit
['mantaf'],mantaf
"['ayo', 'mass', 'rapid', 'transit', 'jakarta']",ayo mass rapid transit jakarta
['mantab'],mantab
"['mass', 'rapid', 'transit']",mass rapid transit
"['stabil', 'susah', 'akses']",stabil susah akses
"['kyanya', 'tahap', 'kembang', 'bukti', 'gue', 'enter', 'username', 'gpp', 'gue', 'tunggu', 'updatenya', 'deh']",kyanya tahap kembang bukti gue enter username gpp gue tunggu updatenya deh
"['bikin', 'updatenya', 'pantesan', 'server', 'download', 'versi']",bikin updatenya pantesan server download versi
"['bantu', 'jalan', 'aman', 'lancar', 'nyaman', 'moga', 'jaya']",bantu jalan aman lancar nyaman moga jaya
"['bagus', 'jalan', 'cepat']",bagus jalan cepat
"['klik', 'login', 'langsung', 'login', 'username', 'password', 'aman', 'cek', 'saldo', 'isi', 'ulang', 'akunkartu', 'masuk', 'mohon', 'revisi', 'mas', 'informasi', 'layak', 'mobile', 'apps', 'jenis', 'halaman', 'button', 'login']",klik login langsung login username password aman cek saldo isi ulang akunkartu masuk mohon revisi mas informasi layak mobile apps jenis halaman button login
['mantap'],mantap
['bagus'],bagus
"['sayang', 'pas', 'pencet', 'login', 'masuk']",sayang pas pencet login masuk
"['keduax', 'gan']",keduax gan
"['pertamax', 'gan']",pertamax gan
