tokens_stemmed,clean_text_final
"['suka', 'mrttapi', 'update', 'wallet', 'bank', 'hilang', 'sisa', '3tiga', 'metode', 'bayar', 'sajasaya', 'kecewakarna', 'sulit', 'konsumensaya', 'harap', 'evaluasi', 'lagibank', 'wallet', 'kembali']",suka mrttapi update wallet bank hilang sisa 3tiga metode bayar sajasaya kecewakarna sulit konsumensaya harap evaluasi lagibank wallet kembali
"['uninstall', 'pake', 'gopay']",uninstall pake gopay
"['wallet', 'ko', 'rangin', 'bikin', 'ribet']",wallet ko rangin bikin ribet
"['mrr', 'keren', 'aman', 'nyaman', 'mahal', 'adain', 'promo']",mrr keren aman nyaman mahal adain promo
"['bayar', 'pake', 'dana', 'gojek', 'hilang', 'bagus']",bayar pake dana gojek hilang bagus
"['balikin', 'sistem', 'bayar', 'pakai', 'gopai', 'shopeepay', 'bank', 'bca', 'ribet', 'pakai', 'blu', 'astra', 'apa', 'repot', 'konsumen', 'pakai', 'mass', 'rapid', 'transit']",balikin sistem bayar pakai gopai shopeepay bank bca ribet pakai blu astra apa repot konsumen pakai mass rapid transit
"['pake', 'gopay', 'auto', 'uninstall', 'minat']",pake gopay auto uninstall minat
"['angin', 'hujan', 'tiba2', 'konfirmasi', 'pin', 'muncul', 'pesan', 'nomor', 'block', 'menit']",angin hujan tiba2 konfirmasi pin muncul pesan nomor block menit
"['baharu', 'aplikasi', 'metode', 'bayar', 'ilang2an', 'pakai', 'general', 'ovo', 'gopay', 'blu']",baharu aplikasi metode bayar ilang2an pakai general ovo gopay blu
"['eror', 'transaksi', 'pakai', 'blu', 'hasil', 'tiket', 'muncul', 'fitur', 'doang', 'diupdate', 'fungsi']",eror transaksi pakai blu hasil tiket muncul fitur doang diupdate fungsi
"['buka', 'deteksi', 'opsi', 'kembang', 'hrs', 'mati', 'dl', 'gmn', 'matiin', 'opsi', 'kembang', 'kl']",buka deteksi opsi kembang hrs mati dl gmn matiin opsi kembang kl
"['pake', 'mode', 'pengembanagn', 'mode', 'aktif', 'versi', 'aman']",pake mode pengembanagn mode aktif versi aman
"['seasik', 'bayar', 'pake', 'dana', 'skrg', 'ribet']",seasik bayar pake dana skrg ribet
"['pake', 'wallet', 'kayak', 'sumpah', 'pake', 'astrapay', 'isa', 'susah', 'top']",pake wallet kayak sumpah pake astrapay isa susah top
"['bayar', 'batas', 'jarang', 'punya', 'orang']",bayar batas jarang punya orang
"['abis', 'update', 'ribet']",abis update ribet
"['akun', 'daftar', 'ulang', 'bayar', 'pake', 'wallet', 'muter', 'kaya', 'gansing']",akun daftar ulang bayar pake wallet muter kaya gansing
"['aplikasi', 'bagus', 'daftar', 'akun', 'mrtnya', 'mudah', 'register', 'akun', 'suka', 'failed']",aplikasi bagus daftar akun mrtnya mudah register akun suka failed
